dataset,client,mean,std,cv,n
NASA,Aktau,7.025240511333684,3.198849776095214,0.45533669216513967,136584
NASA,Almaty,4.784988724887249,2.543357416521588,0.53152840325272,136584
NASA,Astana,6.678066171733146,3.00914766124216,0.45060165381098666,136584
NASA,Taraz,4.367722500439291,2.649602166463453,0.6066324420099869,136584
NASA,Zhezkazgan,6.53686061324899,2.742661609021056,0.4195686234248586,136584
VNMET,Station 001,6.014798689344269,3.175978158193764,0.5280273409349978,300384
VNMET,Station 002,5.079080429837165,2.440135646156083,0.4804286287378823,300672
VNMET,Station 003,4.368056059872509,2.0194753385849493,0.46232816404006777,198288
VNMET,Station 004,5.0765409101912375,2.369182357156324,0.46669226133884834,198288
VNMET,Station 005,5.760477791632031,2.9668510165128916,0.5150355793095311,288720
