dataset,client,predictability_index,component_acf,component_vol_stability,component_seasonal,component_spectral,component_low_cv,component_low_transition
NASA,Aktau,0.35921812969649314,0.5101076251363245,0.5459003598962076,0.11622997129598922,0.25435083678319803,0.5446633078348604,0.06646200873006891
NASA,Almaty,0.31625751984163236,0.22235820106485718,0.5938189225691505,0.29639975421045517,0.20476939007550166,0.46847159674728,0.05061666033443646
NASA,Astana,0.3697444111216575,0.5546592840508594,0.5383800222867627,0.10688958247425584,0.2789474188095288,0.5493983461890133,0.05243721716408323
NASA,Taraz,0.3548558533197397,0.3862359170391236,0.5348573376494496,0.31050536221485747,0.29440514920605354,0.3933675579900131,0.05726805907187971
NASA,Zhezkazgan,0.36040419508353094,0.490645543893318,0.545198961852005,0.13625443030952733,0.25356849513119095,0.5804313765751414,0.0537371875070225
VNMET,Station 001,0.45610685561998965,0.51597030655912,0.5898696720893747,0.4941978500374343,0.4206900576556504,0.4719726590650022,0.0
VNMET,Station 002,0.4623356847395088,0.4689743962787867,0.739904392616707,0.4072142069618626,0.37654926038117387,0.5195713712621177,0.0722883957071041
VNMET,Station 003,0.46943520275323175,0.4432423727238092,0.7726498306910573,0.4240422007827116,0.3833648975542885,0.5376718359599322,0.08014285048389136
VNMET,Station 004,0.498449569373834,0.5564875511046788,0.7533930781488158,0.4349016375293173,0.42870036802533285,0.5333077386611517,0.04032909392122508
VNMET,Station 005,0.4063503556496668,0.5211178928436112,0.6060938090146555,0.2501612460504512,0.3754895290446383,0.48496442069046886,0.0
