dataset,client,desc_n_samples,desc_mean,desc_std,desc_cv,desc_median,desc_min,desc_max,desc_range,desc_iqr,desc_skewness,desc_kurtosis,desc_p5,desc_p95,adf_adf_statistic,adf_adf_pvalue,adf_adf_lags_used,adf_adf_nobs,adf_adf_critical_1pct,adf_adf_critical_5pct,adf_adf_stationary,acf_acf_lag1,acf_acf_lag24,acf_acf_mean_1_24,acf_acf_mean_1_168,acf_acf_decay_lag,acf_ljungbox_pvalue,vol_vol_24h_mean,vol_vol_24h_std,vol_vol_24h_cv,vol_vol_168h_mean,vol_vol_168h_std,vol_vol_168h_cv,vol_vol_720h_mean,vol_vol_720h_std,vol_vol_720h_cv,seas_var_total,seas_var_trend,seas_var_seasonal,seas_var_resid,seas_residual_ratio,seas_seasonal_strength,seas_trend_strength,seas_trend_pct,seas_seasonal_pct,seas_residual_pct,freq_spectral_entropy,freq_dominant_period,freq_dominant_power,freq_diurnal_power_frac,freq_semidiurnal_power_frac,freq_weekly_power_frac,extr_calm_frac,extr_outlier_frac,extr_extreme_high_frac,extr_mean_transition,extr_median_transition,extr_p95_transition
NASA,Aktau,136584,7.025240511333684,3.198849776095214,0.45533669216513967,6.82,0.05,20.69,20.64,4.450000000000001,0.39733589331995933,-0.0691231996470627,2.14,12.62,-23.77579060790995,0.0,47,49952,-3.4304809184031555,-2.861597863244263,True,0.9794565856206136,0.31071398395860966,0.5101076251363245,0.1233770755723698,10,0.0,1.8150767181419094,0.8242256844690138,0.45409964010379245,2.8232334117538853,0.6520750371037104,0.23096745539668997,3.0456916636107705,0.4498570510347719,0.147702755472447,10.263016068038358,5.8208640326578,1.1320390917449854,3.901250495668306,0.3801270961484502,0.11622997129598922,0.6005454892614084,56.71689485886563,11.030276911194196,38.01270961484502,0.745649163216802,,,0.06296402462182045,0.022835108549948163,0.05034168054376963,0.0024966321091782345,0.003558249868212968,0.04989603467463246,,,
NASA,Almaty,136584,4.784988724887249,2.543357416521588,0.53152840325272,4.36,0.01,20.01,20.0,3.27,0.8306604334726001,0.6224645048561857,1.33,9.68,-27.7608226637668,0.0,48,49951,-3.430480921024227,-2.861597864402697,True,0.9270109094207807,0.24503128361066115,0.22235820106485718,0.043399993819857714,4,0.0,1.9444932572219564,0.7898163662754363,0.4061810774308495,2.3922100105223816,0.528914698569207,0.22109877320248697,2.492782959538759,0.3657641516733377,0.14672924101704193,6.49415893179836,1.6699699711583604,1.7978641854725135,3.28776141074434,0.5062643900884475,0.29639975421045517,0.357938629804032,25.714953833073395,27.68432685977782,50.62643900884475,0.7952306099244983,,,0.14871185366481832,0.06135052088513541,0.028943602804169268,0.00675774614889006,0.007672933872195865,0.04981549815498155,,,
NASA,Astana,136584,6.678066171733146,3.00914766124216,0.45060165381098666,6.54,0.04,25.69,25.650000000000002,3.91,0.566047119176848,0.791524930299794,2.06,11.88,-23.938996636493446,0.0,48,49951,-3.430480921024227,-2.861597864402697,True,0.9787417224606072,0.34995663440323027,0.5546592840508594,0.1580905066011651,13,0.0,1.548030220057107,0.7146016756821795,0.46161997771323726,2.5287109819754496,0.6702134566011443,0.2650415414724731,2.8220091000048235,0.48269969829669995,0.1710482430038496,9.00638756469375,4.702466854333562,0.8427706139368756,3.0466052772284242,0.33827161615513046,0.10688958247425584,0.6479724760132418,52.212574914806744,9.35747665624173,33.82716161551305,0.7210525811904712,,,0.044687300878098773,0.017946711434709495,0.053946174490327244,0.002621097639547824,0.00782668540971124,0.0499179991799918,,,
NASA,Taraz,136584,4.367722500439291,2.649602166463453,0.6066324420099869,3.94,0.01,24.39,24.38,3.4699999999999998,1.0299087778404044,1.5950155312174816,0.91,9.31,-21.721444220308726,0.0,48,49951,-3.430480921024227,-2.861597864402697,True,0.9617211856011202,0.38703172189848356,0.3862359170391236,0.16012618564276795,6,0.0,1.7714833799670484,0.8239924956676246,0.4651426623505504,2.3098599295193147,0.6492275272233236,0.28106792058098035,2.476309495595422,0.3993586869374586,0.16127171811431182,7.081437247850389,2.596284578898918,1.6436599773269478,3.0540817462826304,0.4312799279849178,0.31050536221485747,0.4653210364447641,36.663243463564335,23.210824579796853,43.12799279849178,0.7055948507939465,,,0.18944999175228314,0.036871042962837774,0.034209805059248984,0.015741228840859836,0.010777250629649154,0.049991214197856265,,,
NASA,Zhezkazgan,136584,6.53686061324899,2.742661609021056,0.4195686234248586,6.53,0.01,20.75,20.74,3.670000000000001,0.31455266629996564,0.30327327481778177,2.1,11.08,-25.92844728874614,0.0,48,49951,-3.430480921024227,-2.861597864402697,True,0.9745559530253979,0.3000191471951615,0.490645543893318,0.09512565097305481,9,0.0,1.53989758882472,0.7003470220390771,0.45480103814799505,2.4250640759882183,0.5624306464103024,0.23192403531898875,2.6510526594559782,0.3370651496115534,0.12714389071423518,7.53081739081975,3.6332230106512537,0.9177947741877173,2.91501310229005,0.3870779161161871,0.13625443030952733,0.5883352146762487,48.24473655516122,12.187186683168436,38.70779161161871,0.746431504868809,,,0.07488191489636156,0.020599853437793143,0.05076748428294225,0.002760206173490306,0.005205587770163416,0.04985942716570023,,,
VNMET,Station 001,300384,6.014798689344269,3.175978158193764,0.5280273409349978,5.6,0.0,33.0,33.0,4.691000000000001,0.6367914703201513,0.2746062455830094,1.6,11.648553612499986,-19.415468730967376,0.0,13,49986,-3.430480829349134,-2.861597823885083,True,0.8752323919636366,0.6155370713507549,0.51597030655912,0.26347183259000634,41,0.0,1.9120734686091945,0.7841993186698957,0.4101303279106253,2.3975541534319955,0.7525161694129627,0.3138682679328716,2.722344709820417,0.6231918257484341,0.22891730922258693,9.495857092797335,4.640369761180288,2.4379020137362124,2.1892660388019856,0.23054959835722014,0.4941978500374343,0.7026033762166757,48.867308299111166,25.673322480657124,23.054959835722013,0.5793099423443496,,,0.17002432275561696,0.035589645926416245,0.01795014563249218,0.0017377756471716203,0.005040215191221903,0.05000266325769682,,,
VNMET,Station 002,300672,5.079080429837165,2.440135646156083,0.4804286287378823,4.9,0.0,20.4,20.4,3.3,0.5570819097824391,0.3049047334441086,1.5,9.5,-18.288755270033587,2.2998042657225316e-30,30,49969,-3.4304808738609953,-2.8615978435579774,True,0.8137440441565357,0.5411367465134509,0.4689743962787867,0.33148580303482006,34,0.0,1.6810858590926172,0.437243047584159,0.2600956073832929,1.9833409676123408,0.36001430507611487,0.1815191189790834,2.198601194897317,0.35650322149841346,0.1621500171681038,6.115565581549085,2.9351356970340747,1.28111579343977,1.7421180739566813,0.2848662238555211,0.4072142069618626,0.6457721235077551,47.994509385844886,20.948443383633222,28.486622385552106,0.6234507396188261,,,0.13447140472381303,0.04359724785226178,0.016348538215433688,0.002570907833120477,0.005717193486590038,0.046888303533418475,,,
VNMET,Station 003,198288,4.368056059872509,2.0194753385849493,0.46232816404006777,4.2,0.0,18.7,18.7,2.8000000000000003,0.4450225098993382,0.01690639815285122,1.3,7.9,-18.84586837650959,0.0,27,49972,-3.4304808660037605,-2.8615978400853175,True,0.7556296519345235,0.543383552017017,0.4432423727238092,0.251660242840625,29,0.0,1.3665339157801435,0.31068171711902803,0.22735016930894267,1.6304064871508817,0.2636773228417412,0.1617248980053524,1.8101113000985396,0.22494725395271492,0.1242726090602656,4.010735248911,2.0150989017935315,0.8704214547839247,1.1094691792842482,0.27662488557066756,0.4240422007827116,0.652455672629756,50.2426307580555,21.70229149431548,27.662488557066755,0.6166351024457115,,,0.1276301159258745,0.03213423635895343,0.015096105273332166,0.0032528443476155895,0.004125312676510934,0.04850520455095619,,,
VNMET,Station 004,198288,5.0765409101912375,2.369182357156324,0.46669226133884834,5.2,0.0,20.4,20.4,3.4000000000000004,0.13491068318837654,-0.4128654269387546,1.2,9.0,-17.072357143976106,7.809335810573561e-30,20,49979,-3.43048084767388,-2.861597831984066,True,0.8371600243002756,0.6324084979522373,0.5564875511046788,0.38899682748502706,51,0.0,1.4768069915524944,0.36419082635506844,0.2466069218511842,1.8197198838439277,0.2868199400298384,0.15761763256879274,2.079343969655397,0.2391816860913771,0.11502747481024793,5.689032297153145,3.363886916292226,1.0462248490254358,1.2814654137146915,0.22525191399527666,0.4349016375293173,0.7275435915059754,59.12933413957858,18.390207585022473,22.525191399527667,0.5712996319746672,,,0.12488132067128853,0.02304740830824776,0.020420317876353775,0.0048817881061889775,0.001528080367949649,0.04797567175018155,,,
VNMET,Station 005,288720,5.760477791632031,2.9668510165128916,0.5150355793095311,5.4,0.0,37.166,37.166,3.9,0.9626781284092651,2.1351162906286545,1.7,11.1,-16.798606178352333,1.2254720350962733e-29,21,49978,-3.43048085029212,-2.8615978331412486,True,0.8808123676588748,0.4161621818113673,0.5211178928436112,0.1764666758383033,60,0.0,1.7307464998211306,0.6817517613057588,0.39390619098534446,2.433222734742058,0.7504729010737033,0.3084275394760602,2.751633343211708,0.4873160881897673,0.1771006625544709,8.91323788167696,4.608438669793939,1.1328842162101058,2.76953155995652,0.3107211539422589,0.2501612460504512,0.6533480666534838,51.70330614946962,12.710131057300606,31.07211539422589,0.6245104709553617,,,0.08330783833013394,0.02878649695431517,0.06788663560757238,0.0019465225824328069,0.010089359933499584,0.04819548351343862,,,
